Catchment,Model,Best_Params,Validation_RMSE
rain,RandomForest,"{'n_estimators': 300, 'min_samples_split': 5, 'max_depth': 10}",62.52423455134787
rain,XGBoost,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01}",58.41480849029886
